CommissionID,SaleID,AgentName,Rate,Amount
CM0001,SA0001,Alisha Cox,1.49,253.28
CM0002,SA0002,Elizabeth Burke,2.33,164.95
CM0003,SA0003,James Williams,4.21,153.03
CM0004,SA0004,Jenna Richards,6.34,1514.55
CM0005,SA0005,Diana Bailey,8.83,287.44
CM0006,SA0006,Mary Rhodes,8.93,1868.97
CM0007,SA0007,Wendy Sanchez,5.78,305.53
CM0008,SA0008,Raymond Blake,6.3,1448.97
CM0009,SA0009,Anna Walker,7.18,1142.58
CM0010,SA0010,Mr. Scott Mcdaniel,2.43,137.99
CM0011,SA0011,Angela Butler,4.19,454.08
CM0012,SA0012,Timothy King,9.27,69.07
CM0013,SA0013,Lisa Anderson,8.7,650.11
CM0014,SA0014,Angela Jenkins,9.66,1884.29
CM0015,SA0015,Stephen Johnson,8.24,950.71
CM0016,SA0016,David Hendricks,4.03,613.16
CM0017,SA0017,Sheri Williams,1.55,42.91
CM0018,SA0018,Joseph Roberson,9.02,1305.63
CM0019,SA0019,Diamond Schmidt,6.21,916.47
CM0020,SA0020,Patrick Black,7.74,1876.84
CM0021,SA0021,Joseph Crawford,1.45,237.34
CM0022,SA0022,Emily Fisher,6.21,640.27
CM0023,SA0023,Leslie Padilla,3.82,154.94
CM0024,SA0024,Robin Allen,6.75,1437.3
CM0025,SA0025,Crystal Lopez,1.28,104.28
CM0026,SA0026,Andrea Bennett,1.77,164.38
CM0027,SA0027,Jessica Garcia,2.35,180.83
CM0028,SA0028,Brittney Morales,6.37,569.59
CM0029,SA0029,Jessica Wright,4.61,1066.86
CM0030,SA0030,Samantha Smith,4.08,1049.02
CM0031,SA0031,Jennifer Kim,8.81,1456.29
CM0032,SA0032,Erika Martin,6.1,553.81
CM0033,SA0033,Jason Odonnell,4.98,619.37
CM0034,SA0034,Melissa Lee,9.35,2006.47
CM0035,SA0035,Rebecca Armstrong,4.14,327.57
CM0036,SA0036,Pamela Johnson,8.17,99.4
CM0037,SA0037,Brittany Bird,6.52,379.96
CM0038,SA0038,Steven Olsen,7.68,305.56
CM0039,SA0039,Jeremy Humphrey,7.32,1227.4
CM0040,SA0040,Brenda Gordon,1.7,431.68
CM0041,SA0041,Dr. Jamie Simon,5.31,1374.8
CM0042,SA0042,Julie Young,8.84,674.17
CM0043,SA0043,Brenda Tanner,1.06,237.05
CM0044,SA0044,Crystal Garcia,6.96,1431.33
CM0045,SA0045,Katherine Herring,4.38,1135.47
CM0046,SA0046,Cody Reyes,3.09,665.33
CM0047,SA0047,Paul Bradley,8.17,503.93
CM0048,SA0048,Sherri Palmer,4.04,491.57
CM0049,SA0049,Christine Todd,4.53,872.73
CM0050,SA0050,Michael Henry,9.57,270.07
CM0051,SA0051,Shelley Stephens,7.33,1486.37
CM0052,SA0052,Sabrina Oliver,2.07,67.76
CM0053,SA0053,Larry Morgan,5.35,1435.15
CM0054,SA0054,Sherry Fry,7.6,1628.74
CM0055,SA0055,Mr. Nathaniel Sims,5.25,1385.96
CM0056,SA0056,Cameron Ochoa,3.06,140.32
CM0057,SA0057,George Garcia,7.57,1122.55
CM0058,SA0058,Samantha Salazar,1.64,277.24
CM0059,SA0059,Michael Johnson,4.26,324.2
CM0060,SA0060,James Harris,9.85,2558.91
CM0061,SA0061,Laura Henderson,6.86,686.58
CM0062,SA0062,Kimberly Mcgee,6.39,1613.07
CM0063,SA0063,Nathan Williams,6.38,455.84
CM0064,SA0064,Ms. Elizabeth York,5.89,666.35
CM0065,SA0065,Cynthia Graves,3.97,435.93
CM0066,SA0066,Michael Miller,3.24,498.72
CM0067,SA0067,Ellen Mills,9.77,83.72
CM0068,SA0068,Jake Cohen,2.11,346.61
CM0069,SA0069,Emily Peterson,6.17,1441.78
CM0070,SA0070,Kimberly Evans,3.25,709.42
CM0071,SA0071,Stephen Fitzpatrick,1.38,332.56
CM0072,SA0072,Victoria Hickman,7.88,762.37
CM0073,SA0073,Anita James,4.21,894.62
CM0074,SA0074,Jennifer Lopez,8.38,117.26
CM0075,SA0075,Craig Fischer,7.81,715.41
CM0076,SA0076,Joseph Cochran,2.37,138.05
CM0077,SA0077,Jeffrey Scott,6.27,1782.57
